k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
4,1,2,kmedoids_dirac_no_wc_2,no_wc,519.5008229644621,1.0181995992619874,9.285710582756963,1.8199599261987522,310,397,0.0,0.0,91.25,0.0,132.66666666666666,0.0,0.0,290.82530665867813,51.559314025147145,313.55928348479506,63.20945039888374,0.9335712437929572,3.0617294825180057,0.0,1.8949549103154726,0.13970106814597302,1.047227272847681,1.018203863406426,0.1114928
4,2,2,kmedoids_dirac_no_wc_2,no_wc,514.317144274888,1.0080398086878188,4.102031893182868,0.803980868781878,411,397,0.0,0.0,91.25,0.0,137.33333333333334,0.0,0.0,327.32832116933514,64.08576774469356,313.55928348479506,63.20945039888374,0.8499212184505206,2.7068304114336152,0.0,3.5516096852928647,0.0,0.7017543859649122,1.0112751644985045,0.323433
4,3,2,kmedoids_dirac_no_wc_2,no_wc,520.3718022943702,1.0199066818410243,10.156689912665058,1.9906681841024292,388,397,0.0,0.0,91.25,0.0,165.66666666666666,0.0,0.0,285.9779249404705,51.95857496274903,313.55928348479506,63.20945039888374,0.9405117392540188,3.260575910968603,0.0,1.8934335188968654,0.0,1.1145998534405925,1.0643712254342805,0.2890254
6,1,2,kmedoids_dirac_no_wc_2,no_wc,514.6507252838256,1.0086936133299047,4.435612902120454,0.8693613329904772,421,397,0.0,0.0,60.833333333333336,0.0,114.66666666666667,0.0,0.0,333.1809977161478,65.59602389726612,313.55928348479506,63.20945039888374,0.8338983160337405,2.6900852479709947,0.0,3.724742850795912,0.0,0.9748633850989767,1.0234581524718225,0.318911
6,2,2,kmedoids_dirac_no_wc_2,no_wc,519.3301038229787,1.0178649969788711,9.114991441273503,1.7864996978871024,1167,397,0.0,0.0,60.833333333333336,0.0,99.0,0.0,0.0,343.6864869863739,68.3793977189347,313.55928348479506,63.20945039888374,0.7300329416454256,2.6117733963713516,0.0,4.253934241846965,0.0,0.7600000000000001,1.056345944333133,0.3960755
6,3,2,kmedoids_dirac_no_wc_2,no_wc,515.2307769277843,1.009830489972486,5.015664546079108,0.9830489972485877,587,397,0.0,0.0,60.833333333333336,0.0,122.66666666666667,0.0,0.0,327.59128685485024,64.21568412297103,313.55928348479506,63.20945039888374,0.8136432470286543,2.69489957331495,0.0,3.642674979670671,0.0,0.6997018393451294,1.0138282929728595,0.0957223
8,1,2,kmedoids_dirac_no_wc_2,no_wc,514.0084674268816,1.0074348151458488,3.7933550451763836,0.7434815145848671,822,397,0.0,0.0,45.625,0.0,81.0,0.0,0.0,332.86948463249047,66.01024893168749,313.55928348479506,63.20945039888374,0.7705533332354982,2.5430139474125,0.0,3.924383981898886,0.0,0.8196735727353265,1.1643501206709712,0.1019856
8,2,2,kmedoids_dirac_no_wc_2,no_wc,514.667220953196,1.0087259441428698,4.452108571490783,0.872594414286977,405,397,0.0,0.0,45.625,0.0,82.0,0.0,0.0,298.0580778243291,56.87079077153419,313.55928348479506,63.20945039888374,0.8868021048912519,2.7856666266709773,0.0,2.6737419995629645,0.0,1.1036832372472904,1.0678109924980077,0.1299625
8,3,2,kmedoids_dirac_no_wc_2,no_wc,514.026849962101,1.0074708441359224,3.8117375803958,0.7470844135922301,427,397,0.0,0.0,45.625,0.0,84.66666666666667,0.0,0.0,319.69634122783145,61.74259461618246,313.55928348479506,63.20945039888374,0.857599756409932,2.8286126241434277,0.0,3.2320053522121994,0.0,0.8492738722679691,1.0623892069667267,0.0914959
10,1,2,kmedoids_dirac_no_wc_2,no_wc,515.1005618301926,1.0095752738990462,4.8854494484874635,0.9575273899046197,768,397,0.0,0.0,36.5,0.0,82.33333333333333,0.0,0.0,327.37317065543016,65.27295263944777,313.55928348479506,63.20945039888374,0.779630327034256,2.446261578308786,0.0,3.89295620836325,0.0,0.8753233188510126,1.03485836500485,0.1033285
10,2,2,kmedoids_dirac_no_wc_2,no_wc,513.8553169956086,1.007134646790274,3.6402046139034496,0.7134646790274056,884,397,0.0,0.0,36.5,0.0,72.33333333333333,0.0,0.0,312.10406692524197,61.3806927543472,313.55928348479506,63.20945039888374,0.7919853313025875,2.4869741191925483,0.0,3.432742540414326,0.0,0.8421052631578947,1.140015532697626,0.1090715
