k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
4,1,2,kmedoids_dirac_no_wc_2,no_wc,6456.580162507385,12.273483758680548,5930.5208716446,1127.3483758680547,1122,3,0.0,0.0,273.75,0.0,489.0,0.0,0.0,334.95784766634677,67.68967722949716,323.87764369362117,64.70319207412541,0.5969485332222412,2.316434090961517,0.0,4.531650469921733,0.0,1.0526315789473684,1.1023024127481456,0.0869568
4,2,2,kmedoids_dirac_no_wc_2,no_wc,4523.668703914014,8.599161316008308,3997.60941305123,759.9161316008308,839,3,0.0,0.0,273.75,0.0,363.0,0.0,0.0,337.13407900220784,66.07587665756498,323.87764369362117,64.70319207412541,0.6628329186166375,2.791124842020104,0.0,4.0348529342424175,0.0,1.199984353580705,1.1816660891685387,0.7074046
4,3,2,kmedoids_dirac_no_wc_2,no_wc,4078.669626557268,7.7532508167812955,3552.610335694484,675.3250816781294,628,3,0.0,0.0,273.75,0.0,348.0,0.0,0.0,352.28810721309077,70.52645631338544,323.87764369362117,64.70319207412541,0.6665827035762483,2.611728306784125,0.0,4.564773765953535,0.0,1.2609568767343398,1.0857610744621948,0.1315582
6,1,2,kmedoids_dirac_no_wc_2,no_wc,5290.31142621331,10.056492714987945,4764.252135350526,905.6492714987945,950,3,0.0,0.0,182.5,0.0,332.0,0.0,0.0,345.6735621195214,68.95728628468062,323.87764369362117,64.70319207412541,0.6223970256704492,2.5880105917685445,0.0,4.519515830095411,0.0,0.8421052631578947,1.1249111895135462,0.1295008
6,2,2,kmedoids_dirac_no_wc_2,no_wc,3196.291285522881,6.075914523400357,2670.2319946600974,507.5914523400357,359,3,0.0,0.0,182.5,0.0,246.0,0.0,0.0,322.8416685128528,63.56073422393563,323.87764369362117,64.70319207412541,0.765442795938337,2.6061428815180125,0.0,3.675559835286926,0.0,1.0719896178841728,1.0452110437768927,0.3213742
6,3,2,kmedoids_dirac_no_wc_2,no_wc,2341.737158720312,4.451470013731067,1815.677867857528,345.1470013731067,258,3,0.0,0.0,182.5,0.0,223.0,0.0,0.0,340.92167574518794,68.91150344012401,323.87764369362117,64.70319207412541,0.7560166067466528,2.3445747523005585,0.0,4.323965867239767,0.0,1.0838784550965341,1.0847318220895539,0.2731498
8,1,2,kmedoids_dirac_no_wc_2,no_wc,5456.703087518625,10.37279101861151,4930.643796655841,937.279101861151,972,3,0.0,0.0,136.875,0.0,281.0,0.0,0.0,343.8903504388877,69.06076402389823,323.87764369362117,64.70319207412541,0.6173218458297741,2.469820778606714,0.0,4.585403550882082,0.0,0.8421052631578947,1.113447637983098,0.5137163
8,2,2,kmedoids_dirac_no_wc_2,no_wc,3464.627654613776,6.586002214563076,2938.568363750992,558.6002214563075,384,3,0.0,0.0,136.875,0.0,211.0,0.0,0.0,339.28107619488406,66.2569128398792,323.87764369362117,64.70319207412541,0.7396135204260917,2.8905980647488914,0.0,3.8948612885608123,0.0,1.204990552765545,1.0402179005004037,0.0904628
8,3,2,kmedoids_dirac_no_wc_2,no_wc,6005.613394492754,11.416229118666482,5479.55410362997,1041.6229118666483,1038,3,0.0,0.0,136.875,0.0,371.0,0.0,0.0,344.20412821276886,68.95755526625263,323.87764369362117,64.70319207412541,0.6091047719463816,2.534325622225701,0.0,4.565880970946772,0.0,1.060473357360392,1.069238398237474,1.4730416
10,1,2,kmedoids_dirac_no_wc_2,no_wc,805.0438925929972,1.5303291978222717,278.9846017302133,53.032919782227175,169,3,0.0,0.0,109.5,0.0,214.0,0.0,0.0,335.67165110171925,66.93751958647802,323.87764369362117,64.70319207412541,0.8061251405733487,2.462172441696275,0.0,3.967774395610877,0.0,0.7600000000000001,1.2106882000370682,0.0863558
